Raw_Property_Record
PR001|Terrace| port harcourt |David Ade|68000000|5|150
PR002|APARTMENT|Enugu|Fatima Musa|25000000||500
PR003|BUNGALOW|Lagos|mary johnson||4|220
PR004|apartment|Enugu|David Ade|18000000|5|180
PR005|Detached House|LAGOS|David Ade||4|350
PR006|Duplex|Lagos|Aisha Bello|45000000||120
PR007|Duplex|Abuja|emeka obi|92000000||
PR008|apartment|LAGOS|John Okafor|145000000||110
PR009|Land|Kano|emeka obi|68000000|6|150
PR010|apartment|Port Harcourt|Grace Mensah|68000000|6|180
PR011|Apartment|ABUJA|John Okafor|68000000|3|110
PR012|Terrace|Abuja|Grace Mensah|92000000|2|150
PR013|Terrace|Enugu|mary johnson|92000000|2|110
PR014|APARTMENT|ABUJA|mary johnson|25000000|5|120
PR015|Apartment|Kano|David Ade|25000000||
PR016| duplex |Kano|mary johnson|92000000|7|500
PR017|APARTMENT|Kaduna|Grace Mensah|18000000|3|800
PR018|apartment| port harcourt | CHINEDU EZE |25000000|6|120
PR019|apartment| port harcourt | CHINEDU EZE |68000000|6|350
PR020|Terrace| port harcourt |John Okafor|145000000|3|220
PR021|APARTMENT|Abuja|Aisha Bello|145000000|5|120
PR022|Land|Enugu| CHINEDU EZE |145000000|7|150
PR023| duplex |Abuja|emeka obi|68000000||800
PR024|Apartment|Kano|David Ade|45000000|4|180
PR025|APARTMENT|lagos|Ngozi Nwosu|||800
PR026|Land|ABUJA|Ngozi Nwosu|25000000|6|180
PR027|Detached House|LAGOS|Ngozi Nwosu|145000000|6|500
PR028|BUNGALOW|Enugu| CHINEDU EZE |||350
PR029|Detached House|Kaduna|David Ade|92000000|2|150
PR030| duplex |Lagos|John Okafor|25000000|4|500
PR031|Apartment|Enugu|Ngozi Nwosu|45000000|5|
PR032|Detached House|Abuja|Grace Mensah|92000000|5|350
PR033|BUNGALOW|Kaduna|Fatima Musa|145000000|6|350
PR034|Apartment|lagos|Ngozi Nwosu|92000000||150
PR035| duplex |Lagos|Grace Mensah|25000000|4|800
PR036|Detached House|LAGOS|Ngozi Nwosu|92000000|3|800
PR037|Apartment|lagos|Fatima Musa|92000000|5|800
PR038|Land|Kaduna|Grace Mensah|145000000||110
PR039|APARTMENT|Kaduna|Fatima Musa|18000000|2|180
PR040| duplex |Enugu|mary johnson|145000000|4|150
PR041|Duplex|ABUJA|Kelechi Umeh|92000000|2|180
PR042|Apartment|Port Harcourt|Grace Mensah|92000000|3|500
PR043|Terrace|Kano|mary johnson|25000000|6|800
PR044|Detached House|lagos| CHINEDU EZE |18000000|4|110
PR045|APARTMENT|ABUJA|emeka obi|145000000|6|180
PR046|BUNGALOW|Kano| CHINEDU EZE |||350
PR047|Land| port harcourt | CHINEDU EZE |68000000|5|220
PR048|Duplex|LAGOS|Fatima Musa|68000000|3|800
PR049|APARTMENT| port harcourt |Kelechi Umeh|68000000|7|800
PR050|apartment|Kaduna|Kelechi Umeh|68000000|6|220
PR051|Detached House|Abuja|Ngozi Nwosu|92000000|6|150
